Date|Value
03/31/2024 08:25:05|16.8
03/31/2024 08:40:05|16.7
03/31/2024 08:55:05|16.8
03/31/2024 09:10:05|16.8
03/31/2024 09:25:05|16.9
03/31/2024 09:40:05|16.9
03/31/2024 09:55:05|17.1
03/31/2024 10:10:05|17.1
03/31/2024 10:25:05|17.1
03/31/2024 10:40:05|17.2
03/31/2024 10:55:05|17.2
03/31/2024 11:10:04|17.2
03/31/2024 11:25:04|17.1
03/31/2024 11:40:04|17.1
03/31/2024 11:55:04|17.1
03/31/2024 12:10:04|17.1
03/31/2024 12:25:04|17.1
03/31/2024 12:40:04|17.3
03/31/2024 12:55:04|17.4
03/31/2024 13:10:04|17.4
03/31/2024 13:25:04|17.5
03/31/2024 13:40:04|17.4
03/31/2024 13:55:04|17.6
03/31/2024 14:10:04|17.7
03/31/2024 14:25:04|17.7
03/31/2024 14:40:04|17.6
03/31/2024 14:55:04|17.6
03/31/2024 15:10:04|17.6
03/31/2024 15:25:04|17.6
03/31/2024 15:40:04|17.6
03/31/2024 15:55:04|17.6
03/31/2024 16:10:03|17.6
03/31/2024 16:25:03|17.7
03/31/2024 16:40:03|17.6
03/31/2024 16:55:03|17.6
03/31/2024 17:10:03|17.7
03/31/2024 17:25:03|17.7
03/31/2024 17:40:03|17.7
03/31/2024 17:55:03|17.7
03/31/2024 18:10:03|17.7
03/31/2024 18:25:03|17.7
03/31/2024 18:40:03|17.7
03/31/2024 18:55:03|17.7
03/31/2024 19:10:03|17.7
03/31/2024 19:25:03|17.7
03/31/2024 19:40:03|17.7
03/31/2024 19:55:03|17.7
03/31/2024 20:10:03|17.7
03/31/2024 20:25:03|17.8
03/31/2024 20:40:03|17.7
03/31/2024 20:55:03|17.7
03/31/2024 21:10:02|17.7
03/31/2024 21:25:02|17.7
03/31/2024 21:40:02|17.6
03/31/2024 21:55:02|17.7
03/31/2024 22:10:02|17.7
03/31/2024 22:25:02|17.7
03/31/2024 22:40:02|17.6
03/31/2024 22:55:02|17.6
03/31/2024 23:10:02|17.6
03/31/2024 23:25:02|17.6
03/31/2024 23:40:02|17.6
03/31/2024 23:55:02|17.6
04/01/2024 00:10:02|17.5
04/01/2024 00:25:02|17.5
04/01/2024 00:40:02|17.5
04/01/2024 00:55:02|17.5
04/01/2024 01:10:02|17.5
04/01/2024 01:25:02|17.4
04/01/2024 01:40:02|17.4
04/01/2024 01:55:02|17.3
04/01/2024 02:10:01|17.3
04/01/2024 02:25:01|17.3
04/01/2024 02:40:01|17.3
04/01/2024 02:55:01|17.2
04/01/2024 03:10:01|17.3
04/01/2024 03:25:01|17.2
04/01/2024 03:55:01|17.1
04/01/2024 04:10:01|17.1
04/01/2024 04:25:01|17.1
04/01/2024 04:40:01|17
04/01/2024 04:55:01|17
04/01/2024 05:10:01|17.1
04/01/2024 05:25:01|17.1
04/01/2024 05:40:01|17.2
04/01/2024 05:55:01|17.3
04/01/2024 06:10:01|17.3
04/01/2024 06:25:01|17.3
04/01/2024 06:40:01|17.2
04/01/2024 06:55:01|17.2
04/01/2024 07:10:00|17.2
04/01/2024 07:25:00|17.1
04/01/2024 07:40:00|17.1
04/01/2024 07:55:00|17.1
